지점, 현재일기, 시정, 운량, 중하운량, 현재기온, 이슬점온도, 체감온도, 일강수, 적설, 습도, 풍향, 풍속, 해면기압
강릉,  , 20 이상,  ,  , -3.6, -19.5, -8.6,  ,  , 28, 서남서, 13.7, 1015.1
강진군,  , 12.5,  ,  , -2.4, -7.7, -7.3,  ,  , 67, 북서, 14.4, 1022.3
강화, 맑음, 20 이상, 0, 0, -9.0, -18.5, -14.4,  ,  , 46, 서북서, 11.2, 1023.6
거제,  , 20 이상,  ,  , -1.2, -15.4, -6.3, 1.3,  , 33, 서북서, 16.9, 1018.4
거창,  , 20 이상,  ,  , -5.6, -15.9, -12.4, 0.0,  , 44, 북서, 20.5, 1018.9
경주시,  , 20 이상,  ,  , -4.1, -18.7, -10.5, 0.6,  , 31, 북서, 20.5, 1017.5
고산,  , 20 이상,  ,  , 0.9, -2.1, -8.6, 0.2,  , 80, 북서, 82.8, 1021.0
고창,  , 3.3,  ,  , -3.6, -10.0, -11.7, 3.1, 2.0, 61, 서북서, 34.9, 1022.5
고창군,  , 1.9,  ,  , -6.9, -9.4, -10.8, 0.0, 9.1, 82, 북북서, 7.9, 1023.0
고흥,  , 20 이상,  ,  , -3.2, -10.3, -8.7, 0.0,  , 58, 북북서, 16.6, 1020.7
광양시,  , 20 이상,  ,  , -3.5, -12.4, -9.1, 1.4,  , 50, 서북서, 16.9, 1020.5
광주, 약한 눈 연속적, 1.7, 10, 9, -5.0, -6.9, -7.3, 4.0, 16.3, 86, 북북동, 5.0, 1022.4
구미,  , 20 이상,  ,  , -4.8, -17.9, -10.2, 0.0,  , 35, 북북서, 14.4, 1020.0
군산,  ,  ,  ,  , -5.4, -11.1, -12.1, 3.5, 4.3, 64, 북북서, 20.2, 1023.2
금산,  , 19.2,  ,  , -7.2, -13.2, -12.8, 0.4, 3.3, 62, 북서, 13.0, 1022.5
김해시,  , 20 이상,  ,  , -2.2, -18.7, -7.9, 0.7,  , 27, 북서, 19.4, 1018.1
남원,  , 2.9,  ,  , -7.0, -9.7, -10.8, 2.2, 5.3, 81, 북북동, 7.6, 1022.6
남해,  , 20 이상,  ,  , -2.6, -12.6, -8.3, 0.6,  , 46, 북서, 18.7, 1019.7
대관령,  , 20 이상,  ,  , -13.1, -20.9, -20.7,  , 1.0, 52, 서, 15.5, 1017.8
대구, 맑음, 20 이상, 1, 1, -4.5, -17.0, -12.2, 0.2,  , 37, 북서, 28.4, 1018.9
대전, 약한 눈 단속적, 20 이상, 4, 4, -6.5, -14.9, -12.5, 0.0, 1.2, 51, 북북동, 15.1, 1022.7
